Amount,Date,Expense_Category,Description
159.51,2021-02-19,Car,Oil Change
15.5,2021-02-19,Disposable,Taco Bamba
12.18,2021-02-19,Disposable,K1 Beer
15.0,2021-02-19,Disposable,Taco Bamba
0.99,2021-02-19,Entertainment,OneDrive
70.0,2021-02-20,Disposable,Cocaine
50.0,2021-02-20,Car,EZ-Pass
70.0,2021-02-21,Disposable,Supper
35.0,2021-02-21,Disposable,Expensive beer
25.58,2021-02-21,Disposable,Tompkins square bagels
50.0,2021-02-21,Car,EZ-Pass
12.83,2021-02-23,Disposable,Giant
50.0,2021-02-26,Disposable,Yoechon
25.36,2021-02-27,Car,Gas
24.35,2021-02-27,Disposable,Wings
3.49,2021-02-20,Entertainment,Nintendo Switch Online
700.0,2021-01-02,Rent,January rent
20.0,2021-01-02,Disposable,Circa food
36.0,2021-01-02,Disposable,Save the Children
500.0,2021-01-04,School,Parent repayment
23.0,2021-01-04,Disposable,Food with VA
12.71,2021-01-05,Disposable,Hand grip strengthener
26.49,2021-01-06,Disposable,3 pack men's compression pants
90.0,2021-01-06,Disposable,Gabose (korean BBQ)
4.99,2021-01-08,Entertainment,ESPN+
9.99,2021-01-09,Entertainment,Spotify
16.94,2021-01-10,Disposable,UberEats
7.58,2021-01-11,Disposable,Publix sandwich
55.0,2021-01-13,Disposable,MedMen
13.99,2021-01-14,Entertainment,Netflix
55.77,2021-01-14,Utilities,Dominion
25.0,2021-01-14,Utilities,Verizon
20.0,2021-01-14,Entertainment,NBA TV
38.0,2021-01-15,Disposable,Tacos
30.0,2021-01-16,Disposable,Brunch
12.0,2021-01-16,Disposable,Taco Bell
137.8,2021-01-18,Disposable,Basketball shoes
18.0,2021-01-18,Disposable,Cat night light
53.76,2021-01-18,Disposable,VA necklace
107.19,2021-01-19,Disposable,Maddison jersey
63.09,2021-01-19,Disposable,Rolling supplies
75.11,2021-01-20,Disposable,Giant
22.41,2021-01-22,Car,Gas
15.28,2021-01-23,Disposable,McDonalds
50.0,2021-01-26,Car,EZ-Pass
8.97,2021-01-26,Disposable,Mini maracas
27.5,2021-01-26,Disposable,GoFundMe - Chaz's dog
260.0,2021-01-28,Disposable,Dr. Johnny
100.0,2021-01-30,Disposable,Le Diplomate
5.7,2021-01-25,Disposable,Giant
53.2,2021-01-31,Disposable,VA t-shirt
700.0,2020-12-01,Rent,December rent
20.0,2020-12-01,Disposable,Boruramen
1000.0,2020-12-01,Disposable,Environnment Defense Fund Donation
35.79,2020-12-02,Disposable,Candle lighter
5.08,2020-12-02,Disposable,Giant
157.94,2020-12-02,Disposable,Rosetta Stone (Brian)
11.0,2020-12-02,Disposable,Chipotle
36.0,2020-12-02,Disposable,Save the Children
120.67,2020-12-03,Disposable,Costco
90.0,2020-12-03,Disposable,Dr. Johnny
21.87,2020-12-03,Car,Gas
6.0,2020-12-06,Disposable,Giant
28.86,2020-12-06,Disposable,DoorDash
4.99,2020-12-07,Entertainment,ESPN+
9.5,2020-12-09,Entertainment,Spotify
22.6,2020-12-10,Utilities,Verizon
13.0,2020-12-10,Disposable,Giant
11.0,2020-12-11,Disposable,Papa John's
11.0,2020-12-12,Disposable,Pizza
40.0,2020-12-12,Car,Parking ticket
15.0,2020-12-13,Disposable,Jammin' Java
17.11,2020-12-13,Disposable,Noodles & Company
4.0,2020-12-14,Disposable,Giant
88.09,2020-12-14,Disposable,Costco
13.99,2020-12-14,Entertainment,Netflix
37.98,2020-12-15,Utilities,Dominion
12.88,2020-12-17,Disposable,Giant
63.58,2020-12-19,Disposable,ABC
10.0,2020-12-19,Disposable,Chipotle
40.7,2020-12-19,Disposable,Bowlero
74.04,2020-12-19,Disposable,TaskRabbit
10.0,2020-12-21,Disposable,Denis weed
9.0,2020-12-22,Disposable,Chipotle
17.44,2020-12-22,Disposable,Giant
47.35,2020-12-23,Disposable,Target Xmas
256.2,2020-12-24,Disposable,Flights to/from Florida
130.0,2020-12-24,Disposable,Spokes
10.0,2020-12-24,Car,Gas
13.91,2020-12-25,Disposable,Zac Xmas gift
69.99,2020-12-25,Entertainment,Microsoft Office
35.49,2020-12-26,Disposable,K1 Beer
152.98,2020-12-28,Disposable,Costco
12.98,2020-12-29,Disposable,Giant
3.58,2020-12-30,Disposable,Giant
1000.0,2020-11-01,School,Tuition payment
25.83,2020-11-01,Disposable,Bob & Edith's
700.0,2020-11-02,Rent,Rent payment
31.98,2020-11-02,Disposable,Target
18.01,2020-11-02,Disposable,HomeGoods
116.56,2020-11-02,Disposable,TJ Maxx
378.97,2020-11-02,Disposable,Costco
3.88,2020-11-02,Car,Parking
36.0,2020-11-02,Disposable,Save the Children
21.99,2020-11-03,Car,Gas
23.67,2020-11-03,Disposable,Giant
53.5,2020-11-06,Disposable,Exra Life donation
28.01,2020-11-06,Disposable,Skate-N-Fun
60.0,2020-11-07,Disposable,Bowlero
55.0,2020-11-07,Disposable,Bowling drinks
22.2,2020-11-09,Disposable,Pantry moth traps
157.94,2020-11-09,Disposable,Rosetta Stone
9.5,2020-11-09,Entertainment,Spotify
4.99,2020-11-09,Entertainment,ESPN+
6.57,2020-11-10,Disposable,Qdoba
49.45,2020-11-11,Disposable,Bowlero
50.0,2020-11-11,Disposable,ABC
11.3,2020-11-13,Disposable,Giant
137.44,2020-11-13,Disposable,Costco
12.99,2020-11-14,Entertainment,Netflix
14.45,2020-11-17,Disposable,Giant
22.78,2020-11-19,Disposable,Giant
127.49,2020-11-23,Disposable,Costco
3.54,2020-11-23,Disposable,Giant
8.47,2020-11-24,Disposable,Chipotle
10.0,2020-11-26,Disposable,Sheetz money for VA
8.36,2020-11-26,Car,Gas
11.0,2020-11-26,Disposable,Chipotle
13.99,2020-11-27,Disposable,Book
103.85,2020-11-30,Disposable,Plant gift for VA
0.99,2020-11-23,Entertainment,OneDrive
14.06,2020-11-23,Disposable,Taco Bell
30.5,2020-10-01,Disposable,Nimble phone case
36.0,2020-10-02,Disposable,Save the Children
32.0,2020-10-03,Disposable,Pizza
25.97,2020-10-03,Car,Gas
17.98,2020-10-03,Disposable,AMF
9.6,2020-10-03,Disposable,Spin Scooter
7.55,2020-10-03,Disposable,Lyft Scooter
70.98,2020-10-03,Disposable,Target
21.0,2020-10-03,Disposable,Pinecrest Footy Golf
210.0,2020-10-04,Disposable,Dr.Johnny
20.0,2020-10-04,Disposable,Chicken sandwich
26.47,2020-10-05,Disposable,Lulus Wine Garden
57.23,2020-10-05,Disposable,Giant
4.9,2020-10-07,Entertainment,ESPN+
448.33,2020-10-08,Car,Repairs
9.5,2020-10-09,Entertainment,Spotify
49.99,2020-10-09,Entertainment,Strava
18.79,2020-10-10,Disposable,Sheetz food
17.82,2020-10-10,Car,Gas
23.05,2020-10-10,Disposable,Helltown Taproom
56.15,2020-10-11,Disposable,Burgatory
735.96,2020-10-12,Car,Insurance
50.0,2020-10-12,Car,EZ Pass replenish
17.0,2020-10-13,Disposable,Getaway extras
12.99,2020-10-14,Entertainment,Netflix
21.77,2020-10-15,Car,Gas
55.0,2020-10-17,Disposable,Shenandoah annual pass
9.0,2020-10-17,Disposable,Chipotle
26.48,2020-10-16,Disposable,Lids
133.0,2020-10-16,Disposable,Hammock
21.53,2020-10-18,Car,Gas
23.58,2020-10-17,Disposable,Wawa
5.0,2020-10-25,Disposable,Rock climbing
50.0,2020-10-25,Car,EZ Pass replenish
10.51,2020-10-24,Disposable,Panda Express
32.0,2020-10-29,Disposable,Chin-Chin Café
5.16,2020-10-26,Car,Parking
1.43,2020-10-30,Car,Parking
0.99,2020-10-21,Entertainment,OneDrive
40.0,2020-09-01,Disposable,Fantasy Football (corvus)
30.0,2020-09-01,Disposable,Gummies
4.19,2020-09-01,Disposable,Starbucks
36.0,2020-09-02,Disposable,Save the Children
153.0,2020-09-03,Disposable,AirBnB
24.22,2020-09-04,Car,Gas
5.7,2020-09-04,Disposable,Car snacks
427.58,2020-09-04,Car,Battery replacement
30.0,2020-09-05,Disposable,Lost Dog
30.0,2020-09-07,Disposable,Chick & Ruth's Delly
10.0,2020-09-07,Disposable,Miller's Ale House
4.99,2020-09-07,Entertainment,ESPN+
50.0,2020-09-08,Car,EZ-Pass
4.0,2020-09-08,Disposable,Giant
9.5,2020-09-09,Entertainment,Spotify
22.67,2020-09-10,Car,Gas
14.3,2020-09-10,Disposable,Miller Lite
10.7,2020-09-12,Disposable,7-Eleven
10.0,2020-09-12,Disposable,Wings
50.0,2020-09-13,Disposable,Costco
20.0,2020-09-14,Car,Parking ticket
12.99,2020-09-14,Entertainment,Netflix
24.0,2020-09-14,Disposable,Dental Care
317.99,2020-09-15,Disposable,Nintendo Switch
259.99,2020-09-17,Disposable,Switch games
68.2,2020-09-18,Disposable,Circa
8.02,2020-09-19,Disposable,Taco Bell
29.54,2020-09-19,Disposable,Giant (mimosa supplies)
0.99,2020-09-19,Entertainment,OneDrive
569.98,2020-09-22,Car,Tire replacement
25.29,2020-09-22,Car,Gas
50.0,2020-09-23,Car,EZ-Pass
50.84,2020-09-24,Disposable,Sunglasses
30.0,2020-09-24,Disposable,Doctor's visit
34.06,2020-09-25,Disposable,Harris Teeter
5.79,2020-09-26,Disposable,Ice & Twix
9.0,2020-09-26,Disposable,Chipotle
80.38,2020-09-26,Disposable,AirBnB
1.0,2020-09-27,Disposable,Gatorade
32.84,2020-09-29,Disposable,Compression shorts
100.0,2020-09-29,Disposable,Chaplin's
44.91,2020-08-02,Disposable,AMF Summer Pass
175.38,2020-08-02,Disposable,ABC
9.0,2020-08-01,Disposable,Chipotle
36.0,2020-08-03,Disposable,Save the Children
15.0,2020-08-01,Disposable,Vizzy's
23.0,2020-08-09,Disposable,Circa brunch
60.0,2020-08-08,Disposable,Stone Tower Winery
220.0,2020-08-10,Disposable,Johnny supplies
9.5,2020-08-09,Entertainment,Spotify
51.0,2020-08-15,Disposable,Ford's Fish Shack
99.75,2020-08-15,School,Udacity
12.99,2020-08-14,Entertainment,Netflix
3.0,2020-08-18,Car,Parking
30.0,2020-08-18,Disposable,Medstar co-pay
20.48,2020-08-20,Disposable,Ice cream
4.99,2020-08-08,Entertainment,ESPN+
50.0,2020-08-23,Car,EZ Pass
25.79,2020-08-23,Car,Gas
233.41,2020-08-21,Disposable,Getaway House
22.380000000000003,2020-08-21,Disposable,Whiteclaws
47.7,2020-08-23,Disposable,The Pig
16.0,2020-08-21,Disposable,Lost Dog
9.0,2020-08-21,Disposable,Pizza
199.5,2020-08-25,School,Udacity
63.97,2020-08-25,Car,Property tax
55.0,2020-08-29,Disposable,Bowlero arcade
50.0,2020-08-28,Disposable,BBQ
20.26,2020-08-28,Disposable,Bulgogi supplies
14.3,2020-08-29,Disposable,Crystal City Wine
15.0,2020-08-30,Disposable,Bear Chase
0.99,2020-08-21,Entertainment,OneDrive
1000.0,2020-07-01,School,Parent loan repayment
118.57,2020-07-01,Disposable,Costco
195.04,2020-07-01,Disposable,Pacers Running
16.810000000000002,2020-07-02,Disposable,Harris Teeter
61.0,2020-07-02,Disposable,Guapo's
36.0,2020-07-02,Disposable,Save the Children
13.01,2020-07-03,Disposable,Harris Teeter
10.92,2020-07-03,Disposable,Potbelly's
22.04,2020-07-04,Car,Gas
15.18,2020-07-05,Disposable,Annapolis shrimp roll
4.99,2020-07-06,Entertainment,ESPN +
1.38,2020-07-07,Disposable,Harris Teeter
20.0,2020-07-07,Disposable,Face masks
9.5,2020-07-09,Entertainment,Spotify
20.13,2020-07-10,Disposable,White Claws
30.0,2020-07-10,Disposable,Nerd's Rope
16.0,2020-07-10,Disposable,Samuel Beckett's
105.6,2020-07-11,Disposable,Osteria Da Nino
239.4,2020-07-14,School,Udacity
12.99,2020-07-14,Entertainment,Netflix
10.48,2020-07-13,Disposable,Bug Bite Thing
21.62,2020-07-20,Car,Gas
13.87,2020-07-20,Disposable,Sunglasses
0.99,2020-07-19,Entertainment,OneDrive
1000.0,2020-07-23,School,Parent loan repayment
1.03,2020-07-27,Disposable,Change of Address fee
10.48,2020-07-27,Disposable,Bug Bite Thing (Try #2)
24.81,2020-07-27,Car,Gas
11.64,2020-07-24,Car,Gas
2.0,2020-07-21,Disposable,Mini-Golf water
10.0,2020-07-27,Utilities,Monthly utilities
5.0,2020-07-21,Disposable,Mini-Golf
66.0,2020-07-20,Utilities,TV WiFi
54.56,2020-07-16,Utilities,Electric bill
1000.0,2020-07-30,School,Parent loan repayment
20.47,2020-07-31,Car,Gas
9.0,2020-07-31,Disposable,Chipotle
50.0,2020-07-31,Car,EZ-Pass
15.5,2020-07-28,Disposable,Miller's Ale House
50.0,2020-07-30,Utilities,Final Utilities
2.99,2020-07-20,Disposable,Transfer Nike+ App
55.0,2020-06-02,Charity,Grassroots Law Project donation
31.49,2020-06-02,Disposable,Harris Teeter
109.56,2020-06-02,Disposable,Costco
143.52,2020-06-02,Disposable,Huel
36.0,2020-06-02,Disposable,Save the Children
31.77,2020-06-04,Disposable,Nimble phone case
4.61,2020-06-07,Disposable,Harris Teeter
30.0,2020-06-07,Disposable,Kayak rental
1.0,2020-06-07,Disposable,Coffee
4.99,2020-06-08,Entertainment,ESPN+
6.87,2020-06-09,Disposable,Harris Teeter
9.99,2020-06-10,Entertainment,Spotify
40.0,2020-06-12,Disposable,Pink Taco
21.42,2020-06-13,Car,Gas
0.07936507936507936,2020-06-13,Disposable,Harris Teeter
20.0,2020-06-13,Disposable,Big Buns
12.99,2020-06-14,Entertainment,Netflix
59.54,2020-06-16,Utilities,Electric bill
140.0,2020-06-18,Disposable,Costco
170.0,2020-06-21,Disposable,Dr. Johnny
15.0,2020-06-22,Car,Virginia parking
66.0,2020-06-22,Utilities,TV & WiFi
9.6,2020-06-22,Utilities,Renter's
12.8,2020-06-20,Disposable,Potbelly's
65.0,2020-06-20,Disposable,Guapo's
27.5,2020-06-28,Utilities,Monthly utilities
70.0,2020-06-27,Disposable,Lulu's wine bar
820.0,2020-06-24,Rent,Monthly rent
60.0,2020-06-24,Car,Monthly parking
9.0,2020-06-27,Disposable,Chipotle
7.4,2020-06-24,Disposable,HomeGoods
13.54,2020-06-24,Disposable,Flowers
0.06944444444444445,2020-06-23,Disposable,Harris Teeter
10.99,2020-05-06,Disposable,These Truths
20.62,2020-05-05,Disposable,Harris Teeter
2.04,2020-05-01,Disposable,Harris Teeter
36.0,2020-05-02,Disposable,Save the Children
4.99,2020-05-08,Entertainment,ESPN+
30.0,2020-05-08,Disposable,Thai food
165.01,2020-05-10,Disposable,Costco
14.19,2020-05-09,Disposable,Harris Teeter
13.2,2020-05-08,Disposable,GoFundMe - Frontline Response
9.99,2020-05-11,Entertainment,Spotify
15.0,2020-05-02,Disposable,BBQ
12.99,2020-05-14,Entertainment,Netflix
36.37,2020-05-15,Utilities,Electric Bill
60.0,2020-05-20,Utilities,TV & WiFi
21.19,2020-05-18,Disposable,Vape pen
32.33,2020-05-18,Disposable,Harris Teeter
820.0,2020-05-22,Rent,Monthly Rent
60.0,2020-05-22,Car,Monthly Parking
140.0,2020-05-17,Disposable,Dr. Johnny
422.94,2020-05-25,Disposable,Theragun
7.69,2020-05-25,Disposable,Robek's
10.99,2020-05-24,Disposable,Robek's
27.0,2020-05-26,Utilities,Monthly Utilities
13.98,2020-05-24,Disposable,An American Marriage
12.99,2020-05-23,Disposable,Why we Sleep
29.01,2020-05-26,Disposable,Harris Teeter
250.0,2020-05-19,School,Tableau  exam
0.99,2020-05-21,Entertainment,OneDrive
7.5,2020-05-30,Disposable,Alex Ferguson autobiography
20.0,2020-05-29,Disposable,COVID-19 Solidarity Response Fund for WHO
13.0,2020-05-31,Disposable,Draino
7.61,2020-05-31,Disposable,Harris Teeter
17.69,2020-05-30,Car,Gas
17.71,2020-05-31,Disposable,ICE-NY
36.0,2020-04-02,Disposable,Save the Children
20.0,2020-04-03,Car,Gas
40.0,2020-04-04,Disposable,Dak Chicken
8.0,2020-04-04,Disposable,Ice cream for VA
18.02,2020-04-05,Disposable,Taco Bell
32.0,2020-04-06,Disposable,Harris Teeter
22.04,2020-04-07,Disposable,Harris Teeter
4.99,2020-04-08,Entertainment,ESPN+
10.49,2020-04-09,Disposable,"Guns, Germs, and Steel"
9.99,2020-04-10,Entertainment,Spotify
8.25,2020-04-11,Disposable,Chipotle
737.46,2020-04-12,Car,Geico insurance
12.42,2020-04-14,Disposable,Harris Teeter
12.99,2020-04-14,Entertainment,Netflix
8.25,2020-04-15,Disposable,Chipotle
49.24,2020-04-15,Utilities,Electric bill
8.25,2020-04-16,Disposable,Chipotle
30.0,2020-04-18,Disposable,Lost Dog Café
11.65,2020-04-19,Disposable,Harris Teeter
120.0,2020-04-19,Disposable,Dr Johnny
50.0,2020-04-20,Car,EZ-Pass replenish
236.23000000000002,2020-04-21,Disposable,Costco
15.86,2020-04-21,Disposable,Harris Teeter
66.0,2020-04-22,Utilities,TV + WiFi
0.99,2020-04-21,Entertainment,OneDrive
11.2,2020-04-26,Disposable,Taco Bell
8.01,2020-04-26,Disposable,Wendy's
47.59,2020-04-24,Disposable,Harris Teeter
14.99,2020-04-26,Disposable,American Dirt
18.83,2020-04-27,Car,Gas
147.88,2020-04-26,Disposable,ABC
820.0,2020-04-23,Rent,Monthly rent
60.0,2020-04-23,Car,Monthly parking
1.0,2020-04-29,School,Parent Payment
9.6,2020-04-27,Utilities,Renters
25.3,2020-04-26,Utilities,Utilities
99.99,2020-04-24,Disposable,Chess.com membership
14.78,2020-03-01,Disposable,Lyft home from DC
15.48,2020-03-01,Disposable,Rasa
5.0,2020-03-02,Disposable,Dudley's
12.3,2020-03-02,Disposable,Harris Teeter
36.0,2020-03-02,Disposable,Save the Children
16.39,2020-03-03,Disposable,Lyft ride to interview
25.07,2020-03-04,Disposable,Lyft ride home from Caps game
20.0,2020-03-04,Disposable,Biden for President
25.07,2020-03-04,Disposable,Lyft
16.39,2020-03-04,Disposable,Lyft
4.99,2020-03-04,Entertainment,ESPN +
5.94,2020-03-05,Disposable,Uber
21.04,2020-03-06,Car,Gas
10.99,2020-03-06,Disposable,Udemy
9.61,2020-03-07,Disposable,Lyft
8.25,2020-03-07,Disposable,Chipotle
33.59,2020-03-07,Disposable,Mophie charging case
24.02,2020-03-07,Disposable,Big Buns
15.95,2020-03-07,Disposable,Lyft
9.61,2020-03-08,Disposable,Lyft
254.35,2020-03-10,Disposable,AirBnB
9.99,2020-03-10,Entertainment,Spotify
24.0,2020-03-13,Disposable,Dentist
24.0,2020-03-13,Disposable,Hair cut
50.0,2020-03-13,Disposable,Young Chow
12.99,2020-03-14,Entertainment,Netflix
29.12,2020-03-14,Disposable,Harris Teeter
15.36,2020-03-15,Disposable,Harris Teeter
35.1,2020-03-17,Utilities,Electric bill
8.25,2020-03-17,Disposable,Chipotle
25.34,2020-03-21,Disposable,Harris Teeter
21.700000000000003,2020-03-20,Disposable,Pork Barrel BBQ
820.0,2020-03-21,Rent,Monthly rent
60.0,2020-03-21,Car,Monthly car payment
62.0,2020-03-19,Disposable,Whiskey
57.0,2020-03-17,Utilities,TV & Wifi
90.0,2020-03-10,Disposable,Dr Johnny
3.99,2020-03-19,Disposable,Knives Out
31.5,2020-03-29,Disposable,Popeye's
24.64,2020-03-28,Disposable,Harris Teeter
39.35,2020-03-27,Disposable,Harris Teeter
3.06,2020-03-22,Disposable,Harris Teeter
25.0,2020-03-21,Disposable,9:30 Club gift card
90.0,2020-03-27,Disposable,Dr Johnny
9.6,2020-03-26,Utilities,Renter's insurance
25.0,2020-03-24,Utilities,Monthly utilities
218.41000000000003,2020-03-31,Disposable,Costco
9.5,2020-03-21,Car,Parking
52.95,2020-02-02,Disposable,Baked by Melissa
12.0,2020-02-02,Disposable,Wunder Garten
5.0,2020-02-03,Disposable,Photobooth
18.65,2020-02-03,Disposable,Harris Teeter
5.0,2020-02-04,Disposable,Yards
39.4,2020-02-05,Disposable,Amazon - bitters and glasses
1.027027027027027,2020-02-05,Disposable,Harris Teeter
60.0,2020-02-06,Disposable,Soccer registration
37.0,2020-02-06,Disposable,Bonchon
11.94,2020-02-07,Disposable,Uber
4.99,2020-02-07,Entertainment,ESPN+
9.51,2020-02-07,Disposable,Uber
74.0,2020-02-07,Car,Metro Reload
20.0,2020-02-07,Car,Parking Ticket
78.67,2020-02-07,Disposable,Soccer registration
193.7,2020-02-07,Disposable,RPM Italian
6.35,2020-02-08,Disposable,Uber
3.12,2020-02-08,Disposable,Coffee
33.16,2020-02-08,Disposable,The Food market
17.81,2020-02-08,Car,Gas
11.94,2020-02-08,Disposable,Uber
40.0,2020-02-09,Car,Parking Ticket
9.99,2020-02-10,Entertainment,Spotify
80.0,2020-02-10,Disposable,Turbo Tax
132.5,2020-02-13,Disposable,Soccer registration
31.79,2020-02-14,Disposable,Flowers
12.99,2020-02-14,Entertainment,Netflix
36.0,2020-02-15,Disposable,Save the Children
8.25,2020-02-15,Disposable,Chipotle
15.0,2020-02-16,Disposable,Food @ Mitch's
14.0,2020-02-16,Disposable,Wii controller
31.6,2020-02-16,Disposable,Old Ox Brewery
682.6,2020-02-17,Disposable,Tickets for VA & me to/from DC to CA
8.15,2020-02-17,Disposable,Harris Teeter
91.79,2020-02-17,Disposable,Costco
45.75,2020-02-19,Disposable,DC United ticket
60.45,2020-02-19,Disposable,Sam Hunt
42.74,2020-02-19,Utilities,Electricity bill
48.0,2020-02-20,Utilities,TV & Wifi
3000.0,2020-02-21,School,School loan payment
9.01,2020-02-21,Disposable,Chipotle
1.0,2020-02-22,Disposable,Dudley's
27.81,2020-02-22,Disposable,Harris Teeter
2.5,2020-02-22,Disposable,Dip
6.14,2020-02-23,Disposable,Harris Teeter
46.2,2020-02-23,Disposable,Busboys and Poets
23.87,2020-02-24,Disposable,Harris Teeter
50.0,2020-02-24,Disposable,Clinton medical
324.01,2020-02-25,Disposable,AirBnB
150.64,2020-02-25,Disposable,AirBnB
142.65,2020-02-25,Disposable,AirBnB
820.0,2020-02-25,Rent,Monthly rent
60.0,2020-02-25,Car,Monthly parking
100.0,2020-02-26,Car,Metro Reload
31.0,2020-02-26,Utilities,Utilities
20.0,2020-02-27,Disposable,Claws & Hookah from Peach's
9.66,2020-02-27,Utilities,Renters
38.66,2020-02-28,Disposable,Modem
61.379999999999995,2020-02-29,Disposable,DC United drinks
19.45,2020-02-28,Disposable,Harris Teeter
38.05,2020-01-02,Disposable,Harris Teeter
12.9,2020-01-02,Disposable,Harris Teeter
26.86,2020-01-02,Utilities,Citizen utilities
6.65,2020-01-03,Disposable,Harris Teeter
42.0,2020-01-03,Disposable,Ramen + beer 
8.25,2020-01-04,Disposable,Chipotle
90.0,2020-01-04,Disposable,Dr Johnny
7.879999999999999,2020-01-05,Disposable,UberXL to Hawthorne
23.0,2020-01-05,Disposable,Hawthorne
16.68,2020-01-05,Disposable,Uber back from Hawthorne
15.93,2020-01-05,Disposable,Ballston movie snacks
15.97,2020-01-05,Disposable,Movie ticket
36.0,2020-01-06,Disposable,Save the Children
26.28,2020-01-06,Disposable,Artechouse tickets
35.0,2020-01-07,Car,EZ-Pass
4.99,2020-01-07,Entertainment,ESPN+
6.75,2020-01-08,Disposable,SweetGreen
20.0,2020-01-10,Car,Parking
9.99,2020-01-10,Entertainment,Spotify
8.25,2020-01-11,Disposable,Chipotle
7.18,2020-01-11,Disposable,SweetGreen (UberEats)
58.0,2020-01-11,Disposable,Doma
54.0,2020-01-11,Disposable,The Virginian
24.77,2020-01-11,Car,Gas
36.519999999999996,2020-01-12,Disposable,Devil's Backbone
16.03,2020-01-12,Car,Gas
1.99,2020-01-13,Entertainment,OneDrive
16.77,2020-01-13,Disposable,Harris Teeter
21.18,2020-01-13,Disposable,Driclor
18.0,2020-01-13,Disposable,Screen protectors
12.99,2020-01-14,Entertainment,Netflix
50.0,2020-01-14,Disposable,Capitals ticket
49.0,2020-01-14,Utilities,TV/WiFi
22.0,2020-01-16,Disposable,Capitals drinks
20.0,2020-01-16,Car,Parking
450.79,2020-01-16,Disposable,Miami flight
6.389999999999999,2020-01-17,Disposable,Papa John's
55.1,2020-01-17,Utilities,Electric bill
15.94,2020-01-18,Disposable,Moby Dick
16.95,2020-01-18,Disposable,Harris Teeter
3.88,2020-01-18,Car,Parking
8.25,2020-01-18,Disposable,Chipotle
31.0,2020-01-19,Disposable,Bombay Club
14.239999999999998,2020-01-19,Disposable,Uber
14.51,2020-01-19,Disposable,Uber
44.0,2020-01-19,Disposable,Denis party bus
159.63,2020-01-20,Car,"Oil change, tire rotation"
10.0,2020-01-20,Disposable,Poker coaching
5.02000000000001,2020-01-20,Disposable,Target
0.99,2020-01-20,Entertainment,Apple storage
14.96,2020-01-20,Disposable,Uber
12.14,2020-01-20,Disposable,Uber
128.14,2020-01-21,Disposable,Huel
31.49,2020-01-21,Disposable,Harris Teeter
20.0,2020-01-22,Car,Parking
40.0,2020-01-22,Disposable,TopGolf food
820.0,2020-01-23,Rent,Monthly rent
60.0,2020-01-23,Car,Monthly parking
2000.0,2020-01-23,School,Loan payment
5.0,2020-01-23,Disposable,Kish parking
15.0,2020-01-25,Disposable,TopGolf tequila shots
14.87,2020-01-26,Disposable,Taco Bell
22.0,2020-01-26,Disposable,Hair cut
136.04,2020-01-26,Disposable,Costco
90.0,2020-01-26,Disposable,Dr. Johnny
5.0,2020-01-26,Disposable,Hookah
26.56,2020-01-27,Disposable,Harris Teeter
104.63,2020-01-27,Disposable,Kindle
7.99,2020-01-27,Disposable,The Golden Compass
21.0,2020-01-27,Utilities,Monthly utilities
20.0,2020-01-28,Car,Parking
20.0,2020-01-23,Car,Parking
9.52,2020-01-23,Disposable,Groupon gloves
20.0,2020-01-31,Car,Parking
20.0,2020-01-30,Car,Parking
11.0,2020-01-30,Car,Parking
16.96,2020-01-29,Disposable,Bud Light Seltzer
50.0,2019-12-01,Disposable,Clinton's medical
33.3,2019-12-02,Disposable,Crumbs & Whiskers
39.19,2019-12-02,Disposable,Gifts for VA
25.24,2019-12-02,Car,Gas
22.0,2019-12-02,Disposable,Hair cut
34.94,2019-12-03,Disposable,Harris Teeter
63.0,2019-12-04,Disposable,Xmas gifts for Denis and Mom
19.07,2019-12-04,Disposable,Chargers
11.86,2019-12-05,Disposable,Harris Teeter
17.92,2019-12-05,Entertainment,Action Network (annual)
14.59,2019-12-05,Disposable,McDonald's
2500.0,2019-12-06,School,Loan payment
11.0,2019-12-06,Disposable,Kevyn GoFundMe
30.0,2019-12-06,Disposable,Dudley's
60.42,2019-12-07,Disposable,Candles
22.0,2019-12-07,Disposable,Truly's
4.99,2019-12-07,Entertainment,ESPN +
5.41,2019-12-08,Disposable,CVS snacks
20.79,2019-12-08,Disposable,Young Chow
8.25,2019-12-09,Disposable,Chipotle
12.0,2019-12-09,Disposable,Uber back from Caps
14.0,2019-12-09,Disposable,Capitals food
9.99,2019-12-10,Entertainment,Spotify
10.31,2019-12-10,Disposable,Uber
15.73,2019-12-11,Disposable,Harris Teeter
90.0,2019-12-11,Disposable,Johnny
50.0,2019-12-12,Disposable,Mumford
20.24,2019-12-12,Disposable,Union Pie
58.0,2019-12-12,Disposable,Mumford drinks
1.99,2019-12-13,Entertainment,OneDrive
10.48,2019-12-14,Disposable,Uber
9.15,2019-12-14,Disposable,Uber
12.99,2019-12-14,Entertainment,Netflix
34.71,2019-12-14,Disposable,Uber Eats
47.0,2019-12-14,Disposable,Guapos
15.94,2019-12-14,Disposable,Uber
11.27,2019-12-15,Disposable,& Pizza
20.0,2019-12-15,Disposable,Ramen Supplies
20.0,2019-12-15,Disposable,Ubers
29.0,2019-12-16,Disposable,Boltbus
39.8,2019-12-16,Utilities,Electric bill
48.0,2019-12-16,Utilities,TV + WiFi
59.99,2019-12-16,Disposable,Brian's Christmas gift
14.73,2019-12-17,Disposable,Denis secret santa gift
14.5,2019-12-18,Disposable,Ottoman Taverna
