Amount,Date,Expense_Category,Description
36.0,2022-03-02,Charity,Save the Children
12.0,2022-03-03,Disposable,Yinz soccer registration
1160.0,2022-03-03,Rent,Monthly rent
11.41,2022-03-04,Disposable,Uber to Clarendon
23.0,2022-03-04,Disposable,Wilson Hardware
46.76,2022-03-04,Car,Gas
10.35,2022-03-05,Disposable,Uber back from Denis
16.0,2022-03-06,Disposable,Giant
6.99,2022-03-07,Entertainment,ESPN+
1.0,2022-03-08,Disposable,Chipotle
50.0,2022-03-08,Car,Metro reload
2596.99,2022-03-09,Disposable,MacBook
9.99,2022-03-09,Entertainment,Spotify
90.77,2022-03-11,Disposable,Costco
21.49,2022-03-12,Disposable,Uber Eats
17.43,2022-03-13,Disposable,Taco Bell
26.82,2022-03-13,Disposable,Kabob Palace
15.0,2022-03-14,Disposable,Mac mouse
15.49,2022-03-14,Entertainment,Netflix
50.0,2022-03-19,Disposable,Bar Taco
24.66,2022-03-19,Disposable,Uber
5.84,2022-03-19,Disposable,Spin ride
14.3,2022-03-19,Disposable,Crystal City Wine
45.18,2022-03-20,Disposable,REI backpack
0.99,2022-03-20,Entertainment,OneDrive
34.0,2022-03-24,Disposable,White Ford Bronco
100.29,2022-03-23,Disposable,Costco
37.75,2022-03-23,Car,Gas
42.22,2022-03-23,Disposable,Climbing shoes
45.18,2022-03-20,Disposable,Backpack
50.0,2022-03-26,Car,EZ-Pass
60.0,2022-03-25,Disposable,Provision 14
31.2,2022-03-27,Disposable,Hair Cuttery
99.88999999999999,2022-03-26,Disposable,ABC
18.0,2022-03-25,Disposable,Uber
29.67,2022-02-01,Disposable,Vape
140.0,2022-02-02,Disposable,Miami boat
36.0,2022-02-02,Charity,Save the Children
1160.0,2022-02-03,Rent,Monthly rent
100.0,2022-02-03,Car,Monthly parking
84.45000000000005,2022-02-03,Utilities,Monthly utilities
34.96,2022-02-03,Disposable,Target
95.0,2022-02-03,Disposable,Chase annual membership fee
58.54,2022-02-03,Disposable,Mayami
7.4,2022-02-03,Disposable,Uber to airport
18.88,2022-02-04,Disposable,Uber
21.0,2022-02-04,Disposable,1800 Lucky
13.02,2022-02-04,Disposable,Uber
21.319999999999993,2022-02-05,Disposable,E11Even
18.37,2022-02-05,Disposable,Uber
29.5,2022-02-05,Disposable,Uber
10.62,2022-02-06,Disposable,Uber
40.400000000000006,2022-02-06,Disposable,Spanglish
18.66,2022-02-06,Disposable,Uber
6.51,2022-02-06,Disposable,Uber
28.0,2022-02-07,Disposable,Vinnies
28.74,2022-02-07,Disposable,Taco Craft
6.99,2022-02-07,Entertainment,ESPN+
47.69,2022-02-07,Disposable,Uber to Ft. Lauderdale
6.26,2022-02-08,Disposable,Pepsi
9.99,2022-02-09,Entertainment,Spotify
228.92,2022-02-09,Disposable,Costco
